File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Measured
src/main/java/org/apache/giraph/comm/RequestRegistry.java,1,93,21,2,1,2,14,8,7.0,7,7,3.5,40,33,3.5,3957,42.548387,T
src/main/java/org/apache/giraph/examples/SimpleVertexWithWorkerContext.java,1,182,49,2,0,1,32,26,16.0,15,17,7.5,188,97,7.5,3957,21.741757999999997,F
src/main/java/org/apache/giraph/utils/ComparisonUtils.java,1,62,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3957,63.82258100000001,F
src/test/java/org/apache/giraph/examples/MinimumIntCombinerTest.java,1,45,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3957,87.93333299999999,F
src/main/java/org/apache/giraph/graph/MutableVertex.java,1,133,37,3,0,2,14,11,4.6666669999999995,-9,0,-3.0,229,97,-3.0,3957,29.75188,F
src/main/java/org/apache/giraph/lib/AdjacencyListTextVertexOutputFormat.java,1,97,21,2,0,1,11,8,5.5,1,2,0.5,115,97,0.5,3957,40.793814000000005,F
src/main/java/org/apache/giraph/graph/GraphState.java,1,141,8,1,0,1,4,4,4.0,0,0,0.0,97,97,0.0,3957,28.06383,F
src/test/java/org/apache/giraph/TestPredicateLock.java,1,89,98,3,1,2,79,45,26.333333000000003,60,30,20.0,13,5,20.0,3957,44.460674,T
src/test/java/org/apache/giraph/lib/TestTextDoubleDoubleAdjacencyListVertexInputFormat.java,1,232,120,2,0,1,58,42,29.0,-4,7,-2.0,115,97,-2.0,3957,17.056034,F
src/test/java/org/apache/giraph/examples/ConnectedComponentsVertexTest.java,1,114,4,1,1,1,3,3,3.0,2,2,2.0,35,35,2.0,3957,34.710526,T
src/main/java/org/apache/giraph/graph/partition/Partition.java,1,156,119,6,2,1,72,28,12.0,25,12,4.1666669999999995,256,97,4.1666669999999995,3957,25.365385,F
src/main/java/org/apache/giraph/graph/partition/MasterGraphPartitioner.java,1,83,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3957,47.674699,F
src/main/java/org/apache/giraph/graph/AggregatorUsage.java,1,58,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3957,68.224138,F
src/main/java/org/apache/giraph/graph/VertexMutations.java,1,212,40,2,0,1,20,10,10.0,0,0,0.0,188,97,0.0,3957,18.665094,F
