File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
tajo/src/test/java/org/apache/zeppelin/tajo/TesterDatabaseMetaData.java,1,950,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.111579,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/InterpreterException.java,1,34,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,3.1176470000000003,F
zeppelin-zengine/src/test/java/org/apache/zeppelin/interpreter/mock/MockInterpreter11.java,1,74,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.432432,F
zeppelin-zengine/src/main/java/org/apache/zeppelin/conf/ZeppelinConfiguration.java,1,565,81,12,2,10,49,20,4.9,-6,16,-0.5,49,10,-0.5,106,0.187611,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/scheduler/SchedulerListener.java,1,30,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,3.5333330000000003,F
zeppelin-interpreter/src/test/java/org/apache/zeppelin/scheduler/RemoteSchedulerTest.java,1,128,20,2,1,2,16,15,8.0,12,11,6.0,33,32,6.0,106,0.828125,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/remote/RemoteInterpreter.java,1,374,1,1,0,1,1,1,1.0,1,1,1.0,32,32,1.0,106,0.283422,T
zeppelin-interpreter/src/main/java/org/apache/zeppelin/scheduler/SchedulerFactory.java,1,144,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.736111,T
hive/src/main/java/org/apache/zeppelin/hive/HiveInterpreter.java,1,210,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.504762,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/scheduler/RemoteScheduler.java,1,397,1,1,0,1,1,1,1.0,1,1,1.0,1,1,1.0,106,0.26700300000000005,T
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/remote/RemoteAngularObjectRegistry.java,1,140,79,1,0,1,76,76,76.0,73,73,73.0,32,32,73.0,106,0.757143,F
lens/src/test/java/org/apache/zeppelin/lens/LensInterpreterTest.java,1,71,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.492958,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/remote/RemoteAngularObject.java,1,50,6,1,0,1,3,3,3.0,0,0,0.0,32,32,0.0,106,2.12,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/remote/RemoteInterpreterContextRunner.java,1,38,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,2.7894740000000002,F
lens/src/main/java/org/apache/zeppelin/lens/LensInterpreter.java,1,451,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.235033,T
flink/src/main/java/org/apache/zeppelin/flink/FlinkInterpreter.java,1,322,40,2,1,2,33,22,16.5,26,16,13.0,8,6,13.0,106,0.32919299999999996,T
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/InterpreterProperty.java,1,49,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,2.163265,F
zeppelin-server/src/main/java/org/apache/zeppelin/server/AppScriptServlet.java,1,95,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.115789,F
spark/src/main/java/org/apache/zeppelin/spark/SparkSqlInterpreter.java,1,295,157,5,3,3,29,14,7.25,-100,9,-20.0,16,5,-20.0,106,0.359322,F
zeppelin-zengine/src/test/java/org/apache/zeppelin/util/UtilTest.java,1,100,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.06,F
ignite/src/test/java/org/apache/zeppelin/ignite/Person.java,1,50,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,2.12,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/remote/RemoteInterpreterEventPoller.java,1,134,12,1,0,1,8,8,8.0,4,4,4.0,32,32,4.0,106,0.791045,T
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterEvent.java,1,502,54,1,0,1,44,44,44.0,34,34,34.0,5,5,34.0,106,0.211155,F
zeppelin-interpreter/src/test/java/org/apache/zeppelin/interpreter/remote/mock/MockInterpreterB.java,1,118,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.8983049999999999,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/ClassloaderInterpreter.java,1,279,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.37992800000000004,F
lens/src/main/java/org/apache/zeppelin/lens/LensJLineShellComponent.java,1,244,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.43442600000000003,T
zeppelin-interpreter/src/main/java/org/apache/zeppelin/display/AngularObjectRegistryListener.java,1,28,2,1,0,1,1,1,1.0,0,0,0.0,32,32,0.0,106,3.785714,F
zeppelin-server/src/main/java/org/apache/zeppelin/server/JsonResponse.java,1,145,1,1,0,1,1,1,1.0,1,1,1.0,6,6,1.0,106,0.731034,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/InterpreterContext.java,1,91,10,1,0,1,9,9,9.0,8,8,8.0,32,32,8.0,106,1.164835,F
zeppelin-interpreter/src/main/java/org/apache/zeppelin/scheduler/JobProgressPoller.java,1,70,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.514286,F
