File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
lib/java/src/org/apache/thrift/protocol/TMessage.java,1,57,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,6209.052632,F
lib/java/src/org/apache/thrift/TFieldIdEnum.java,1,34,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,10409.294118,F
lib/java/src/org/apache/thrift/protocol/TList.java,1,38,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,9313.578947,F
lib/java/test/org/apache/thrift/async/TestTAsyncClient.java,1,28,28,1,1,1,28,28,28.0,28,28,28.0,45,45,28.0,353916,12639.857143,F
lib/java/test/org/apache/thrift/test/JavaBeansTest.java,1,112,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,3159.964286,T
lib/java/src/org/apache/thrift/TDeserializer.java,1,342,20,5,1,3,12,4,4.0,-4,4,-0.8,11,3,-0.8,353916,1034.842105,T
lib/java/src/org/apache/thrift/TSerializer.java,1,110,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,3217.418182,F
lib/javame/src/org/apache/thrift/TSerializer.java,1,110,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,3217.418182,F
lib/java/test/org/apache/thrift/test/TestNonblockingServer.java,1,76,76,1,1,1,76,76,76.0,76,76,76.0,45,45,76.0,353916,4656.789474,T
lib/java/test/org/apache/thrift/TestTDeserializer.java,1,126,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2808.857143,F
tutorial/java/src/JavaClient.java,1,106,57,2,2,1,39,38,19.5,21,21,10.5,59,45,10.5,353916,3338.830189,T
lib/javame/src/org/apache/thrift/protocol/TSet.java,1,36,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,9831.000000,F
lib/java/src/org/apache/thrift/async/TAsyncClientFactory.java,1,25,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,14156.640000,F
